mois_non_declares,solde,mois_payes_spontane_dern_seg,anciennete_mois,recence_decl_mois,recence_seg_mois,ecart_mois_decl_vs_seg,regime,centre_impot,segment,activite,RISQUE_BIN
-1.0,3217492.0,3.0,20.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
0.0,-1000.0,3.0,10.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,REPARATION ET INSTALLATION DES MACHINES ET EQUIPEMENTS,1.0
0.0,282188.0,2.0,45.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES MOYENNES ENTREPRISES DOUALA BONANJO,J,BATIMENT ET TRAVAUX PUBLICS,1.0
-1.0,2474849.0,3.0,72.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES MOYENNES ENTREPRISES DOUALA BONANJO,V,"HOTELS, HOTELS MEUBLES e ANALOGUES",0.0
-1.0,5386891.0,2.0,485.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 3,J,ACTIVITES FINANCIERES ET D'ASSURANCE,0.0
0.0,34254.0,2.0,41.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 3,J,SERV. FOURN. AUX ENTREPRISES,1.0
-1.0,31475.0,3.0,11.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,"BATIMENTS ET TRAVAUX PUBLICS : ENTREPRISES GENERALES DE BATIMENT, ENTREPRISES DE PEINTURE, D?INSTALLATIONS SANITAIRES, D?INSTALLATIONS ELECTRIQUES, DE ZINGUERIE, DE PLOMBERIE, DE VITRERIE ; CONSTRUCTION ET ENTRETIEN DES ROUTES, VOIES FERREES, CANALISATION D?EAU (OUVRAGES D?ART EXCLUS)",1.0
-1.0,371754.0,2.0,39.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,DETAILLANT ARTICLE D'ARTISANAT LOCAL,0.0
-1.0,523137.0,3.0,45.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,COMMERCE GENERAL,0.0
1.0,167755.0,0.0,17.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,R,TRANSPORTS ROUTIERS DE MARCHANDISES OU DE VOYAGEURS,1.0
-1.0,26876.0,3.0,7.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,V,REPARATION ET INSTALLATION DES MACHINES ET EQUIPEMENTS,1.0
-1.0,19540.0,3.0,32.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,COMMERCE GENERAL,0.0
-1.0,1571886.0,3.0,76.0,0.0,0.0,0.0,1,CENTRE PRINCIPAL DES IMPOTS DU LITTORAL 1,J,TRANSPORTS AERIENS,0.0
0.0,-5240.0,3.0,76.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 10,V,AUTRES S. SOC. c FOURN A LA COLLEC,0.0
-1.0,5277595.0,3.0,253.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,V,TRANSITAIRE ET AUXILIAIRES DES TRANSPORTS,1.0
